"Name","TankType","Capacity","CapacityUnits","Diameter","DiameterUnits","MaxOperatingDepth","MaxOperatingDepthUnits","Ventilation","InServiceDate","InterimStabilization","IntrusionPrevention","OperationCapacityKGal","TankStatus","TankIntegrity","DIL_Gal"
"241-A-101","SST-4","1000","kgal","75","ft","360","in","Passive","1/1956","November 2003","","1000","R","Sound","37000"
"241-A-102","SST-4","1000","kgal","75","ft","360","in","Passive","3/1956","August 1989","","1000","R, WI","Sound","5700"
"241-A-103","SST-4","1000","kgal","75","ft","360","in","Passive","5/1956","June 1988","October 1989","1000","","Sound","87000"
"241-A-104","SST-4","1000","kgal","75","ft","360","in","Operating Exhauster","6/1959","September 1978","December 1982","1000","","Assumed leaker","0"
"241-A-105","SST-4","1000","kgal","75","ft","360","in","Operating Exhauster","1962","July 1979","October 1985","1000","","Assumed leaker","0"
"241-A-106","SST-4","1000","kgal","75","ft","360","in","Operating Exhauster","3/1957","August 1982","December 1982","1000","R","Sound","0"
"241-AN-101","DST","1160","kgal","75","ft","422","in","Operating Exhauster","9/1981","","","1160","","Sound","0"
"241-AN-102","DST","1160","kgal","75","ft","422","in","Operating Exhauster","9/1981","","","1160","","Sound","0"
"241-AN-103","DST","1160","kgal","75","ft","422","in","Operating Exhauster","9/1981","","","1160","","Sound","0"
"241-AN-104","DST","1160","kgal","75","ft","422","in","Operating Exhauster","9/1981","","","1160","","Sound","0"
"241-AN-105","DST","1160","kgal","75","ft","422","in","Operating Exhauster","9/1981","","","1160","","Sound","0"
"241-AN-106","DST","1160","kgal","75","ft","422","in","Operating Exhauster","9/1981","","","1160","","Sound","0"
"241-AN-107","DST","1160","kgal","75","ft","422","in","Operating Exhauster","9/1981","","","1160","","Sound","0"
"241-AP-101","DST","1265","kgal","75","ft","458","in","Operating Exhauster","7/1986","","","1257","","Sound","0"
"241-AP-102","DST","1265","kgal","75","ft","422","in","Operating Exhauster","7/1986","","","1160","","Sound","0"
"241-AP-103","DST","1265","kgal","75","ft","458","in","Operating Exhauster","7/1986","","","1257","","Sound","0"
"241-AP-104","DST","1265","kgal","75","ft","458","in","Operating Exhauster","7/1986","","","1257","","Sound","0"
"241-AP-105","DST","1265","kgal","75","ft","458","in","Operating Exhauster","7/1986","","","1257","","Sound","0"
"241-AP-106","DST","1265","kgal","75","ft","458","in","Operating Exhauster","7/1986","","","1257","","Sound","0"
"241-AP-107","DST","1265","kgal","75","ft","458","in","Operating Exhauster","7/1986","","","1257","","Sound","0"
"241-AP-108","DST","1265","kgal","75","ft","458","in","Operating Exhauster","1986","","","1257","","Sound","0"
"241-AW-101","DST","1160","kgal","75","ft","422","in","Operating Exhauster","7/1980","","","1160","","Sound","0"
"241-AW-102","DST","1160","kgal","75","ft","422","in","Operating Exhauster","7/1980","","","1160","","Sound","0"
"241-AW-103","DST","1160","kgal","75","ft","422","in","Operating Exhauster","7/1980","","","1160","","Sound","0"
"241-AW-104","DST","1160","kgal","75","ft","422","in","Operating Exhauster","7/1980","","","1160","","Sound","0"
"241-AW-105","DST","1160","kgal","75","ft","422","in","Operating Exhauster","7/1980","","","1160","","Sound","0"
"241-AW-106","DST","1160","kgal","75","ft","422","in","Operating Exhauster","7/1980","","","1160","","Sound","0"
"241-AX-101","SST-4","1000","kgal","75","ft","360","in","Passive","1965","December 2003","","1000","R","Sound","0"
"241-AX-102","SST-4","1000","kgal","75","ft","360","in","Passive","1966","September 1988","December 1982","1000","RC","Sound","0"
"241-AX-103","SST-4","1000","kgal","75","ft","360","in","Passive","1965","August 1987","December 1982","1000","RC","Sound","0"
"241-AX-104","SST-4","1000","kgal","75","ft","360","in","Passive","1966","August 1981","December 1982","1000","RC","Sound","0"
"241-AY-101","DST","1018","kgal","75","ft","370","in","Operating Exhauster","4/1971","","","1018","","Sound","0"
"241-AY-102","DST","1018","kgal","75","ft","370","in","Operating Exhauster","4/1971","","","11","","Assumed leaker; primary tank","0"
"241-AZ-101","DST","1018","kgal","75","ft","370","in","Operating Exhauster","11/1976","","","1018","","Sound","0"
"241-AZ-102","DST","1018","kgal","75","ft","370","in","Operating Exhauster","11/1976","","","1018","","Sound","0"
"241-B-101","SST-2","530","kgal","75","ft","185","in","Passive","5/1945","March 1981","May 1981","530","","Assumed leaker","18000"
"241-B-102","SST-2","530","kgal","75","ft","185","in","Passive","10/1945","August 1985","September 1985","530","","Sound","5700"
"241-B-103","SST-2","530","kgal","75","ft","185","in","Passive","12/1945","February 1985","September 1985","530","WI","Assumed leaker","8300"
"241-B-104","SST-2","530","kgal","75","ft","185","in","Passive","8/1946","June 1985","September 1985","530","","Sound","58000"
"241-B-105","SST-2","530","kgal","75","ft","185","in","Passive","1/1947","December 1984","October 1985","530","","Assumed leaker","18000"
"241-B-106","SST-2","530","kgal","75","ft","185","in","Passive","9/1947","March 1985","October 1985","530","","Sound","12000"
"241-B-107","SST-2","530","kgal","75","ft","185","in","Passive","5/1945","March  1985","October 1985","530","","Assumed leaker","20000"
"241-B-108","SST-2","530","kgal","75","ft","185","in","Passive","1945","May 1985","October 1985","530","","Sound","15000"
"241-B-109","SST-2","530","kgal","75","ft","185","in","Passive","1/1946","April 1985","October 1985","530","","Assumed leaker","13000"
"241-B-110","SST-2","530","kgal","75","ft","185","in","Passive","5/1945","December 1984","October 1985","530","","Assumed leaker","33000"
"241-B-111","SST-2","530","kgal","75","ft","185","in","Passive","11/1945","June 1985","October 1985","530","","Assumed leaker","29000"
"241-B-112","SST-2","530","kgal","75","ft","185","in","Passive","4/1946","May 1985","June 1985","530","WI","Assumed leaker","4200"
